h,oc
0.075193089,12.5
0.062682246,19.1
0.078886429,13.6
0.079156646,12.4
0.060105948,22.6
0.073147852,22.6
0.063909302,20
0.066578682,25.3
0.075087995,48.7
0.062142167,64.6
0.081692392,16.7
0.076570875,13.3
0.075754114,31.5
0.068211336,70
0.074696977,35.2
0.07176561,20.5
0.071780931,35.6
0.079696969,20
0.08408702,12.4
0.087740344,11.6
0.071068745,21.7
0.072648712,20.4
0.090652464,14.1
0.077216761,12.2
0.063701278,28.2
0.083010499,23.8
0.069582808,20.8
0.065179643,9.2
0.082912558,36.7
0.08380734,22.2
0.08413031,19
0.073556597,15.3
0.079110541,18.9
0.076982414,37.6
0.07886063,10.9
0.073454989,26.2
0.066149697,61.8
0.07624191,20.2
0.076675885,19.5
0.084176591,24.9
0.070860785,13.7
0.075985906,20.1
0.081987292,18.5
0.062388933,20.1
0.076809616,23.2
0.084875771,20.3
0.079146068,20.9
0.074421961,16.1
0.077069516,15.3
0.069030372,41
0.079815082,16.5
0.081247781,28.3
0.073766881,14
0.077422858,13
0.075750742,28.5
0.077801798,19.6
0.082455939,20.4
0.080461838,18.5
0.076919539,16.9
0.069708431,15.8
0.072714205,38.5
0.06148341,41.6
0.082049525,16.9
0.067042754,68.8
0.077475721,18.4
0.066147691,109.8
0.082279722,19.1
0.084253719,21.4
0.083136381,16.1
0.074082316,49.2
0.075443275,29.3
0.084267878,20.9
0.079769319,8.6
